customer_id,age,monthly_income_idr,monthly_spend_idr,app_usage_time_hrs,support_tickets_opened,website_visits_per_month,customer_tenure_months
CUST-16265,36.0,9692743.0,1610268,12,3,19,23
CUST-74820,31.0,24628519.0,11472471,27,1,2,24
CUST-93104,23.0,4791743.0,203355,1,0,12,22
CUST-12747,44.0,20743066.0,9253882,34,1,16,15
CUST-76803,36.0,13147581.0,3454354,19,3,25,3
CUST-97313,24.0,6586644.0,356840,3,0,4,25
CUST-33483,19.0,6795513.0,517113,1,0,7,44
CUST-79479,36.0,12798669.0,3370928,11,2,4,2
CUST-81211,43.0,13558019.0,2720405,9,2,2,10
CUST-99789,25.0,4564685.0,453531,1,0,8,21
CUST-73704,39.0,10704238.0,4130708,15,2,28,45
CUST-12568,42.0,20173036.0,8425472,49,0,24,1
CUST-43159,45.0,9752126.0,1636330,10,1,3,35
CUST-62251,22.0,6231785.0,388998,2,0,7,9
CUST-89575,23.0,12545583.0,4511062,14,2,5,35
CUST-18110,43.0,10121690.0,4491650,8,3,14,3
CUST-10206,27.0,6720246.0,715270,3,0,15,26
CUST-64268,40.0,15769598.0,12292895,31,0,4,30
CUST-43827,34.0,32750764.0,10344014,35,0,13,32
CUST-74044,40.0,12574293.0,4012667,9,2,25,6
CUST-85766,33.0,12394539.0,3623091,18,2,28,25
CUST-16776,22.0,10782592.0,3201240,18,2,20,13
CUST-13748,24.0,6548421.0,121959,3,0,1,42
CUST-64384,36.0,9384250.0,1561087,15,1,17,12
CUST-36736,23.0,13725570.0,1916880,12,1,2,2
CUST-56717,44.0,13595108.0,2980415,8,1,2,44
CUST-22688,27.0,11864822.0,2619043,14,3,6,24
CUST-90623,23.0,11080389.0,3161909,18,3,16,33
CUST-82082,48.0,12173125.0,3648815,10,3,26,3
CUST-94896,21.0,6755423.0,314835,1,0,8,39
CUST-57254,18.0,5056731.0,566872,1,0,10,35
CUST-12049,37.0,11504473.0,4605391,16,1,1,12
CUST-52642,48.0,13184502.0,2198376,16,3,16,16
CUST-22183,25.0,4907317.0,488215,1,0,20,11
CUST-58354,21.0,4501157.0,284423,4,0,16,25
CUST-12869,39.0,10799487.0,4404941,9,2,3,16
CUST-96831,21.0,5138848.0,138467,1,0,20,8
CUST-50818,18.0,5905279.0,356687,4,0,22,22
CUST-15895,27.0,9620197.0,3731660,10,2,27,27
CUST-50764,18.0,5418175.0,760960,1,0,16,19
CUST-53484,38.0,10727423.0,3015536,19,2,14,6
CUST-55236,30.0,10509079.0,4387004,8,2,3,33
CUST-42745,28.0,33992383.0,10886402,42,0,22,3
CUST-66958,45.0,13246894.0,4918965,14,2,27,42
CUST-88069,18.0,4158823.0,730152,3,0,16,39
CUST-99912,150.0,9492785.0,2297079,19,2,4,45
CUST-65766,29.0,11414527.0,2786125,19,3,15,28
CUST-62921,44.0,8649150.0,4875957,10,1,29,22
CUST-63006,43.0,9079600.0,2525715,17,2,22,43
CUST-97142,28.0,33762804.0,7251451,36,1,4,6
CUST-27019,42.0,33037602.0,10054390,32,1,10,30
CUST-99480,32.0,34955161.0,14348340,47,0,12,1
CUST-55543,22.0,12062958.0,2543233,13,1,13,1
CUST-69638,24.0,6762174.0,641252,2,0,3,12
CUST-71389,40.0,8144356.0,1703861,16,1,28,5
CUST-53919,41.0,27661693.0,9288627,29,1,26,26
CUST-33049,28.0,10582115.0,3004544,12,3,22,5
CUST-19823,21.0,6530526.0,647577,3,0,1,5
CUST-59115,37.0,9100567.0,3785903,14,2,27,20
CUST-80588,39.0,12730530.0,4549851,8,1,19,43
CUST-79449,,4491072.0,138304,4,0,11,44
CUST-37350,33.0,13019230.0,2814093,9,1,17,26
CUST-30358,47.0,11353597.0,1565953,10,1,4,45
CUST-54425,25.0,6989475.0,160692,1,0,5,9
CUST-80640,24.0,9162928.0,2369474,11,2,7,32
CUST-53286,26.0,9355531.0,2715856,14,1,25,35
CUST-10728,44.0,28217648.0,12781565,44,1,22,13
CUST-34466,18.0,4409995.0,295004,1,0,12,9
CUST-70921,35.0,12246238.0,3268831,11,3,15,16
CUST-97508,24.0,11772811.0,3817336,11,3,4,23
CUST-31689,24.0,5656940.0,189780,2,0,7,14
CUST-16801,26.0,11038370.0,1538102,18,3,15,12
CUST-31677,47.0,12426219.0,4325104,13,3,13,40
CUST-36962,29.0,28846020.0,13903836,29,1,8,45
CUST-45909,41.0,9533584.0,3506342,16,1,28,31
CUST-25485,33.0,8026790.0,3191738,17,2,3,45
CUST-62224,35.0,16454908.0,9253694,33,0,3,13
CUST-77641,46.0,12949499.0,3887312,16,1,12,45
CUST-71642,22.0,5855567.0,586261,1,0,28,37
CUST-27640,40.0,10373139.0,2527512,9,3,17,14
CUST-29087,22.0,10598260.0,4231573,13,3,23,11
CUST-39703,37.0,10485195.0,2834679,19,1,26,28
CUST-14835,29.0,11775803.0,4284433,19,1,27,17
CUST-37532,42.0,13562067.0,2542892,19,1,14,35
CUST-60990,19.0,6677618.0,673695,1,0,25,2
CUST-71813,40.0,18314692.0,11193398,48,0,1,18
CUST-72680,18.0,5635156.0,385977,3,0,22,27
CUST-50943,22.0,11251298.0,1770846,8,1,23,6
CUST-33524,26.0,10332517.0,1842786,12,3,21,37
CUST-48765,20.0,5193104.0,606964,2,0,1,45
CUST-17239,22.0,12895207.0,1592193,19,3,7,26
CUST-47131,43.0,11582069.0,2860642,18,2,1,44
CUST-11252,48.0,12892472.0,1981680,14,3,21,14
CUST-16949,20.0,6702757.0,427359,4,0,18,34
CUST-63413,36.0,12975026.0,4983617,11,1,1,24
CUST-49811,24.0,4707689.0,353490,1,0,10,17
CUST-15569,49.0,8650199.0,3820929,13,1,13,43
CUST-16090,32.0,8661614.0,2179574,14,3,22,16
CUST-43434,29.0,13106563.0,3769464,10,3,29,32
CUST-46668,,13123122.0,3654260,12,2,22,21
CUST-91818,26.0,10245131.0,2698425,9,1,9,26
CUST-29262,26.0,5222869.0,286717,3,0,16,17
CUST-97731,22.0,10287623.0,2414032,10,1,15,47
CUST-54247,43.0,12583897.0,2315131,14,2,2,45
CUST-48638,34.0,34678830.0,9966422,38,0,28,45
CUST-83688,,5678050.0,266926,4,0,23,37
CUST-57915,28.0,,3692614,13,2,25,17
CUST-36734,46.0,13875267.0,4129001,10,1,4,47
CUST-82274,25.0,6568103.0,181264,4,0,10,41
CUST-85703,41.0,13952793.0,2072735,9,3,27,45
CUST-11605,46.0,11859744.0,4499732,13,1,23,4
CUST-34818,25.0,5207094.0,224040,3,0,8,37
CUST-38746,23.0,5695041.0,403571,9999,0,4,15
CUST-63441,18.0,6209373.0,360669,1,0,15,11
CUST-74323,40.0,10971820.0,3734693,17,2,19,20
CUST-88477,38.0,10332811.0,3986830,8,2,6,37
CUST-69383,25.0,9416012.0,3058506,10,1,10,5
CUST-18512,39.0,23767500.0,11199591,26,1,5,9
CUST-52078,25.0,6719269.0,529474,2,0,17,5
CUST-80792,19.0,5175885.0,429588,4,0,2,12
CUST-18007,22.0,11806503.0,2592501,19,1,11,41
CUST-29282,20.0,4873172.0,639812,1,0,27,14
CUST-53303,25.0,9062636.0,3286921,16,2,8,39
CUST-97062,20.0,4335484.0,565317,1,0,15,33
CUST-46455,22.0,11681262.0,1938774,9,2,8,39
CUST-97487,33.0,26630982.0,7345266,32,1,20,15
CUST-10922,18.0,5107955.0,125053,3,0,4,29
CUST-77779,22.0,9899492.0,2580730,14,1,22,2
CUST-65180,27.0,5223520.0,670485,2,0,15,36
CUST-24382,41.0,11448503.0,2939758,15,1,4,12
CUST-81315,20.0,6530034.0,437827,4,0,11,10
CUST-12443,27.0,9979079.0,4701046,17,2,26,13
CUST-49915,28.0,25673774.0,13383207,35,1,4,4
CUST-37632,22.0,4890695.0,100126,2,0,28,31
CUST-13797,43.0,12935730.0,1998716,15,1,11,23
CUST-29256,32.0,17002324.0,13262105,38,1,1,40
CUST-49224,36.0,8318408.0,1968276,16,2,21,26
CUST-18577,41.0,9229336.0,2517433,18,2,7,18
CUST-80507,48.0,12492816.0,2162143,18,3,27,24
CUST-47148,41.0,12108997.0,4403540,15,1,11,22
CUST-62853,39.0,9295302.0,2070451,16,1,22,28
CUST-51949,29.0,9038896.0,4797606,8,1,23,19
CUST-28449,38.0,13984684.0,4819260,15,3,1,14
